Obesity_number
8599
6796
909
10101
2385
196040
25583
3327
11380
14983
8282
8954
10411
25015
4704
19589
50008
12197
27797
1379
3261
26680
3872
11790
6106
88497
3911
11566
9928
1590
14559
4473
24952
53397
7502
31863
580
13780
465
6333
2487
71266
303708
1650
4132
650
128455
148074
57301
6521
9362
4527
34378
12823
4203
3616
57411
47226
4863
11238
5879
8819
13376
3174
1407
8897
6957
2593
4862
2749
12025
6265
69147
30925
1571
413031
8368
9816
3324
5552
86417
2760
56742
3323
197
2769
944
1056
186661
11689
77956
2290
18550
5009
13001
12207
238332
46418
69453
36015
8710
2843
14568
3053
4502
17946
4779
29355
1843
16646
11425
1037
8178
670
3379
39373
2622
9745
9531
13975
1314
119285
24755
5122
18540
600
577
49208
41887
11888
8582
4731
8955
1658
10984
14902
23248
2998
18275
1000695
1634
3568
110677
4023
631650
344105
7046
2572
2425
9787
4365
4049
7247
5327
16571
7541
517
4544
31208
17028
634
9382
68469
29554
9504
49423
7169
5181
9887
65740
27290
3732
232448
2303
2793
18956
16668
40606
575
3390
18433
7838
5723
205361
18784
8574
394
9262
2811
1949
98189
17128
714
453
106179
1679
3202
4357
7876
1268
1712
649
82373
192
8011
379
13780
6291
14868
3737
1596
12283
33284
6659
4884
20939
1013
17374
278
20217
4715
16086
7477
48533
4779
5225
4715
26029
4399
4064
2291
6483
12418
899
6896
14552
8195
3645
43594
2387
5950
854
4729
8241
62130
76855
24470
17126
11350
41424
481
5919
10325
137451
11628
57687
2884
13785
5262
18127
25706
6251
25860
45196
16680
25064
18629
3906
131934
7318
1831
8672
17024
19186
3731
3738
26324
3072
7301
17208
6179
4291
10156
52362
2604
5525
3484
7285
7128
2260
2677
4524
2264
10071
13108
4814
3104
155
4234
4363
5702
55898
4212
259
6343
3951
3393
3655
35527
29786
15022
2785
54736
5754
621
129082
50506
33591
46273
8115
8475
2643
694
13096
704
8832
4423
7212
14772
939
26873
29697
2737
107359
2304
1993
44871
9852
473
17052
20364
5131
615
134354
1673
5450
2996
3369
54622
15126
1854
4285
5726
13330
1264
12882
28575
4664
8025
2059
7782
1225
273672
21548
47583
8138
3664
3962
51905
4327
2025
4150
14371
14206
14527
4474
620
4428
4015
48160
1578
1044
3915
11268
12080
2066
8454
8147
9278
69361
95879
150568
59586
41485
36922
24285
8897
528374
30003
6816
2260
5427
17158
5081
5782
4162
117153
3846
188
55750
26332
2246
2073
5180
6570
5774
3642
1488
5351
2501
9124
654
14715
4037
1069
6156
14976
22392
2057
12348
5320
4582
2488
1218
22324
338741
15231
887
8781
2125
14259
4693
4580
25965
2440
60836
60713
3392
11211
22048
175684
28413
458464
3278
2617
6579
8671
22513
63722
3670
2392
7279
7713
10174
4804
18403
1316
6487
11245
1613
1498
1491
131400
447
33176
7195
2986
3607
1089
6350
25045
4144
9918
20762
4135
11018
18129
249336
6963
114332
22099
1194
45612
6690
1418
2781
1263
4711
6923
4852
1548
37030
18443
4985
18371
130231
3586
4214
2594
5979
1502
2100
4068
10208
2527
228463
34428
19887
6673
74602
2999
4750
1020
13092
1453
5961
4583
3243
18413
3905
4766
55721
4438
3146
8046
9176
4253
3239
1381
1100
37906
10948
6608
7174
18200
2038
7901
4730
89827
2521
7379
15857
3539
1320
6447
1352
4038
6090
12250
244
12657
6889
6241
62882
12594
15404
19204
217487
6662
10866
8752
22541
2865
25104
6433
12204
2297
5752
23816
5576
10099
31680
5754
9303
36639
12108
825
2327
926
3785
5789
1354
28866
21996
5727
14998
4278
5244
19571
1863
60967
2520
38445
16158
3100
11483
2083
2464
14195
5072
22311
1416
2578
55102
5713
1685
4226
6872
10625
584
3489
2495
6033
7864
1807
9333
417
2448
11966
8253
38
117647
28075
6413
785
12862
6180
9379
17901
7791
4317
9502
7385
6511
32824
7834
8759
471
153009
7420
4152
1041
10738
7714
3436
11122
164
144931
6491
652186
27858
225957
19978
18509
5242
14813
2944
7532
23520
6286
2248
1531
6887
9570
13173
7762
570
3889
1037
2919
11938
13615
1183
3125
207
43164
23938
31042
70969
22022
6398
929
7884
10335
1760
3127
1016
5762
9388
11932
8785
9450
28414
4021
32758
4106
4341
8721
30912
6215
3012
10348
2305
12553
13646
2510
15548
16968
11673
1092
14036
173216
16366
91148
132718
18347
3715
1901
9524
2393
17634
1865
6797
5044
128427
4124
758
83730
6726
23770
4740
13195
1788
1540
5596
3158
1243
219205
87148
2516
333110
30876
5987
10889
11285
537
48519
3726
20794
14361
7048
99150
22929
63143
3564
1738
5887
3036
2055
28514
6471
30776
2235
804
6413
31184
45813
16605
27365
3043
2904
1730
13964
10951
13878
12563
1992
6422
4561
156233
3663
5511
8535
20056
27506
1089
1062
3754
8431
3056
12711
50225
5592
3225
5649
15550
5143
1410
71587
13599
1774
6512
2254
2673
103296
6877
6996
4057
35068
118165
1739
3718
5858
13313
8889
5413
8520
4745
6805
5101
55259
2465
2420
1194
3851
2675
1349
5798
2599
19785
21181
4082
3120
12283
7078
8642
2086
1243
121
2261
11859
1020
2708
11764
47177
79105
10417
1066
1724
28482
10614
16248
160957
13277
15145
468
989
28288
4332
4266
4866
5804
1621
238141
4815
1422
1664
2849
8990
63954
6209
606
4825
38808
4295
8796
19315
5693
139743
610
8242
34737
6768
1341
10901
977
12205
5292
9578
24184
23726
4226
145753
506439
205
24693
1746
10727
2232
2386
11372
26259
2538
1866
104680
2482
2097906
2555
7502
17980
2761
10389
39926
30314
2934
28435
2127
14067
11842
1301
12267
808
3496
889
6499
10772
30916
932
3380
98498
10064
1848
5861
107936
218931
3764
12096
4720
390
4506
8056
5609
14266
4890
4386
7218
12354
286
8699
4048
906
4556
6173
4131
2883
390
1961
18525
2044
18701
20112
9302
1585
2047
45310
2353
5636
9181
323
10691
4902
17173
16892
3674
4631
4182
2577
17381
976
4756
77178
7930
57892
13645
1306
15535
12962
2204
11027
10138
3858
6116
7702
1837
12453
2307
4525
9971
870
1229
6778
18446
127859
1541
2555
2281
2166
238715
1419
15808
27875
8180
7770
8326
1185
5000
9674
16541
6704
214228
1888
4093
4823
275026
1704
18142
670
20297
489
3868
9237
1997
1813
4408
526
5824
4218
1954
65591
1586
4534
2155
34650
65379
2637
8000
684
3207
4775
43285
66761
3522
10146
4254
2531
68
4016
4530
528
565
9371
2005
30865
7530
28246
6822
24346
17305
10160
142
37491
141896
18404
3682
266712
1517
4422
14577
4509
24403
2160
6930
1706
19011
27600
1220
37064
9244
5402
16258
37284
4648
3066
186478
9786
5172
19401
75812
45626
4202
12033
36866
882
8876
2008
43399
1977
8514
27188
10295
3711
27842
15658
15308
15605
9791
938
23109
4685
7710
16418
12077
162
5530
7012
14963
46744
2974
8368
4280
9745
65017
18967
338
8767
44457
11567
33714
11282
2922
6627
3655
80941
44110
36558
4565
15112
12214
8577
2878
12416
36761
2437
19562
812
1529
3101
4905
812
5319
50539
44687
3950
5094
18584
15688
38584
14240
15595
4012
6819
6109
22493
3554
6473
